500, 776, 184
1000, 1445, 193
1500, 2158, 221
2000, 2879, 210
2500, 3861, 210
3000, 4415, 215
3500, 5199, 237
4000, 7816, 235
4500, 6592, 248
5000, 7567, 261
5500, 8090, 242
6000, 8570, 249
6500, 9569, 268
7000, 10132, 264
7500, 10510, 283
8000, 15214, 275
8500, 12532, 279
9000, 13183, 286
9500, 14095, 267
10000, 15570, 275
10500, 40057, 343
11000, 15722, 262
11500, 18701, 273
12000, 18632, 272
12500, 20333, 280
13000, 24472, 341
13500, 26662, 341
14000, 23320, 281
14500, 49488, 304
15000, 25512, 461
15500, 78902, 343
16000, 22772, 305
16500, 85485, 307
17000, 25846, 291
17500, 33727, 423
18000, 34433, 319
18500, 79710, 419
19000, 27363, 309
19500, 122300, 324
20000, 29637, 309
20500, 56348, 352
21000, 30765, 309
21500, 49210, 313
22000, 40209, 365
22500, 79046, 367
23000, 52304, 5373
23500, 44163, 315
24000, 56937, 331
24500, 40102, 334
25000, 44255, 343
25500, 65053, 355
26000, 92979, 346
26500, 102808, 405
27000, 112047, 869
27500, 80818, 434
28000, 47250, 439
28500, 56371, 354
29000, 42073, 304
29500, 133055, 379
30000, 65772, 3596
30500, 69019, 393
31000, 67932, 687
31500, 44983, 377
32000, 88111, 392
32500, 99154, 367
33000, 122427, 348
33500, 103395, 406
34000, 51495, 329
34500, 49669, 389
35000, 88235, 406
35500, 60854, 363
36000, 58101, 347
36500, 85298, 376
37000, 61824, 352
37500, 91748, 1225
38000, 92740, 450
38500, 69815, 365
39000, 80468, 359
39500, 94296, 422
40000, 131174, 364
40500, 98071, 401
41000, 113028, 396
41500, 114653, 372
42000, 97044, 384
42500, 67241, 343
43000, 105032, 372
43500, 102130, 357
44000, 67164, 399
44500, 78116, 344
45000, 76032, 371
45500, 114768, 443
46000, 89698, 517
46500, 84007, 391
47000, 74374, 407
47500, 190153, 415
48000, 181103, 424
48500, 85306, 685
49000, 85116, 391
49500, 83572, 361
50000, 93839, 478
50500, 90880, 456
51000, 75332, 441
51500, 115471, 565
52000, 113341, 407
52500, 118466, 412
53000, 80361, 398
53500, 111873, 422
54000, 155310, 553
54500, 123790, 485
55000, 107809, 445
55500, 91095, 1773
56000, 92820, 392
56500, 128504, 537
57000, 143407, 411
57500, 92890, 433
58000, 178411, 414
58500, 143591, 475
59000, 86630, 421
59500, 89536, 393
60000, 99838, 432
60500, 120413, 482
61000, 113606, 449
61500, 111900, 383
62000, 92749, 387
62500, 112086, 424
63000, 95422, 418
63500, 128065, 442
64000, 140343, 400
64500, 124110, 418
65000, 136008, 383
65500, 126982, 461
66000, 120830, 411
66500, 120864, 439
67000, 99904, 367
67500, 103734, 406
68000, 132100, 503
68500, 247019, 1648
69000, 125170, 465
69500, 102556, 390
70000, 105914, 352
70500, 128148, 592
71000, 139114, 531
71500, 129597, 484
72000, 125785, 516
72500, 124692, 442
73000, 120951, 836
73500, 112428, 368
74000, 108905, 435
74500, 123358, 502
75000, 121793, 471
75500, 124894, 429
76000, 138638, 455
76500, 131037, 459
77000, 129222, 424
77500, 110686, 376
78000, 115766, 394
78500, 122696, 399
79000, 117637, 320
79500, 138540, 413
80000, 115334, 395
80500, 149249, 392
81000, 123590, 397
81500, 127145, 2107
82000, 121533, 371
82500, 124482, 394
83000, 132101, 432
83500, 251532, 481
84000, 128877, 3245
84500, 132633, 415
85000, 158087, 465
85500, 165712, 416
86000, 151356, 451
86500, 164084, 835
87000, 170005, 615
87500, 150326, 489
88000, 168623, 484
88500, 152587, 482
89000, 154463, 1073
89500, 181208, 487
90000, 179869, 554
90500, 147957, 5664
91000, 161887, 449
91500, 154718, 693
92000, 153541, 498
92500, 167153, 407
93000, 180483, 460
93500, 171040, 484
94000, 170937, 439
94500, 164582, 519
95000, 200827, 527
95500, 177508, 437
96000, 171144, 521
96500, 164095, 483
97000, 289939, 605
97500, 162072, 448
98000, 167416, 489
98500, 170714, 797
99000, 219390, 484
99500, 180731, 548
100000, 169860, 437
100500, 178487, 520
101000, 177645, 580
101500, 183976, 451
102000, 166058, 443
102500, 159877, 516
103000, 165982, 429
103500, 171459, 568
104000, 171860, 467
104500, 175063, 486
105000, 195521, 578
105500, 175259, 501
106000, 171554, 552
106500, 176824, 456
107000, 180863, 405
107500, 174786, 512
108000, 175593, 503
108500, 419358, 494
109000, 209828, 509
109500, 207852, 462
110000, 179786, 467
110500, 175454, 592
111000, 193537, 475
111500, 181230, 486
112000, 174192, 577
112500, 171420, 457
113000, 183818, 476
113500, 188029, 492
114000, 179851, 483
